window,i_start,i_end,depth,mean_soc,count
10-90%,2440,2444,0.8000000000000003,0.5000000000000001,0.5
10-90%,2447,2448,1.8947806286936006e-16,0.9,1.0
10-90%,2451,2452,1.8947806286936006e-16,0.9,1.0
10-90%,2458,2460,1.8947806286936006e-16,0.9,1.0
10-90%,2444,2461,0.8000000000000003,0.5000000000000001,0.5
10-90%,2461,2470,0.8000000000000003,0.5000000000000001,0.5
10-90%,2470,2477,0.8000000000000003,0.5000000000000001,0.5
10-90%,2497,2502,0.2715261185878541,0.23576305929392702,1.0
10-90%,2489,2503,0.8,0.5,1.0
10-90%,2479,2513,0.8,0.5,1.0
10-90%,2515,2538,0.5241424022194038,0.3620712011097018,1.0
10-90%,2539,2561,0.45701314891680395,0.32850657445840187,1.0
10-90%,2574,2575,1.8947806286936006e-16,0.8626624734148906,1.0
10-90%,2573,2576,0.5614799288045133,0.6192600355977433,1.0
10-90%,2477,2563,0.8000000000000003,0.5000000000000001,0.5
10-90%,2588,2597,0.5241424022194038,0.6379287988902981,1.0
10-90%,2607,2621,0.31719973901094534,0.25859986950547265,1.0
10-90%,2563,2586,0.8000000000000003,0.5000000000000001,0.5
10-90%,2633,2635,0.5314929771339882,0.6342535114330059,1.0
10-90%,2645,2652,0.8,0.5,1.0
10-90%,2586,2622,0.8000000000000003,0.5000000000000001,0.5
10-90%,2622,2657,0.8000000000000003,0.5000000000000001,0.5
10-90%,2659,2669,0.8,0.5,1.0
10-90%,2671,2681,0.8,0.5,1.0
10-90%,2684,2686,0.3770176821962046,0.2885088410981022,1.0
10-90%,2694,2699,0.5241424022194038,0.3620712011097019,1.0
10-90%,2689,2705,0.8,0.5,1.0
10-90%,2707,2709,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,2715,2716,1.8947806286936006e-16,0.5045891976340647,1.0
10-90%,2718,2723,0.5241424022194038,0.3620712011097019,1.0
