Hour [h],Power wind farm [W]
3461,90763613.44966796
3462,76076897.82431555
3463,48715791.993880495
3464,78361997.9252623
3465,114238068.88713095
3466,136993794.00278667
3467,147465977.50080094
3468,173891873.34859475
3469,244785935.72540718
3470,225621091.45816985
3471,173816278.79194254
3472,195975409.8942685
3473,217767476.30545616
3474,186789431.95332026
3475,214981496.23595762
3476,210159720.55315435
3477,149176895.2783648
3478,275965636.80214953
3479,281044327.99367166
3480,226204073.76425764
3481,261829964.4749869
3482,222381113.8747169
3483,268901398.2431091
3484,274332849.37009907
3485,291457578.9770124
3486,286128089.42539555
3487,325861965.65849644
3488,269955931.1449994
3489,212357002.27807793
3490,254356601.2176788
3491,237238986.48376867
3492,225580861.22283745
3493,197712562.429272
3494,224512801.06713676
3495,273364315.4225276
3496,244402561.35584912
3497,254267937.2147181
3498,226548648.17471907
3499,175990169.12181744
3500,131172366.40052308
3501,123584268.30286789
3502,160992749.0215164
3503,216805665.2722321
3504,297922184.7917883
3505,340736480.0406001
3506,299076652.4002173
3507,268705952.8919442
3508,270715260.8091288
3509,128508275.45465118
3510,250551609.60898215
3511,231930943.6446186
3512,280574650.5726192
3513,269374743.01249665
3514,241007055.6761729
3515,299083081.23346585
3516,299076652.4002173
3517,303737536.3236156
3518,337471514.47985774
3519,344280586.2105988
3520,344280579.7154665
3521,344280852.33937186
3522,344280598.7442626
3523,344280602.0321059
3524,344280456.01566714
3525,340141166.6791225
3526,344280386.5322948
3527,330817697.5249946
3528,344280586.2335206
3529,308361990.67196476
3530,308361990.67196476
3531,280452625.85261893
3532,328419832.58327305
3533,315280699.31019074
3534,300865612.54327804
3535,277015575.8481541
3536,297600827.34710705
3537,344280379.36158663
3538,341366935.79572535
3539,341366935.79572535
3540,289276571.97392035
3541,152447356.5225129
3542,146926821.46658298
3543,121184951.68791807
3544,123730129.34519687
3545,117494960.76095547
3546,92382014.57525773
3547,51425426.858788446
3548,61494274.93926173
3549,51425426.858788446
3550,79870450.16120161
3551,93634947.21333422
3552,99407198.72674182
3553,13202300.047383599
3554,30392594.98451025
3555,48591201.93338461
3556,62781238.082528286
3557,63358430.01579076
3558,77056059.14240646
3559,46916349.35262036
3560,54111109.09404517
3561,43660659.12464674
3562,50278717.001752324
3563,72216895.05572684
3564,97094721.8842936
3565,143640932.99622908
3566,112159146.1478079
3567,151362451.83760276
3568,148185826.80216065
3569,87213062.0687185
3570,142260062.94418398
3571,106997846.0808465
3572,83165628.54036665
3573,51855064.146035634
3574,26826625.003237896
3575,37070093.998787045
3576,32593694.277705718
3577,23264259.442100566
3578,12499842.670213858
3579,11995847.899071269
3580,14667027.655417368
3581,17359200.802571338
3582,15184038.133099152
3583,5622173.046415922
3584,3057397.0150265237
3585,0.0
3586,0.0
3587,0.0
3588,0.0
3589,0.0
3590,0.0
3591,0.0
3592,0.0
3593,0.0
3594,0.0
